manuscriptID,instructional_design,specific_technologies,attitudes_beliefs,simulations_games,teacher_pipeline,methods,phenomonology,subject_areas,socializing_technology_use
AKAPAME2019,0.916729383,-0.547072889,0.762350965,-0.238676919,0.474715558,0.275931418,1.170326254,0.638650233,1.645709651
ALHAZZA2017,-0.580595276,1.835733474,-0.975100072,-0.238676919,-0.09963166,0.275931418,2.962388331,1.929118746,-0.025580979
ARMFIELD2019,-0.580595276,-0.547072889,0.762350965,-0.238676919,-1.248326096,-1.011748534,-0.621735823,-0.006584023,0.810064336
BAHNG2017,0.916729383,-0.547072889,-0.975100072,2.685115336,-0.673978878,0.275931418,-0.621735823,0.638650233,-0.861226294
BUSS2017,-0.580595276,-0.547072889,0.762350965,-0.238676919,-0.09963166,-1.011748534,-0.621735823,-0.651818279,0.810064336
BUSS2018,-0.580595276,-0.547072889,-0.975100072,-0.238676919,1.623409993,-1.011748534,-0.621735823,-0.651818279,-0.025580979
BYKER2017,0.916729383,-0.547072889,0.762350965,-0.238676919,-1.248326096,-1.011748534,-0.621735823,-0.006584023,-0.025580979
BYRD2017,-0.580595276,-0.547072889,0.762350965,-0.238676919,-0.09963166,-1.011748534,-0.621735823,-0.651818279,0.810064336
CANIGLIA2018,-0.580595276,1.835733474,0.762350965,-0.238676919,-0.09963166,0.275931418,-0.621735823,0.638650233,0.810064336
CHRIST2019,0.916729383,-0.547072889,0.762350965,-0.238676919,-0.09963166,-1.011748534,-0.621735823,0.638650233,2.481354966
FOULGER2017,-0.580595276,-0.547072889,-0.975100072,-0.238676919,1.049062776,2.851291322,-0.621735823,-0.006584023,-0.025580979
GILES2019,-0.580595276,-0.547072889,0.762350965,-0.238676919,-0.673978878,0.275931418,-0.621735823,-0.651818279,1.645709651
GRAZIANO2017,-0.580595276,-0.547072889,-0.975100072,-0.238676919,1.049062776,1.56361137,1.170326254,-0.651818279,-0.025580979
GRAZIANO2018,-0.580595276,0.644330292,0.762350965,-0.238676919,-0.09963166,-1.011748534,-0.621735823,-0.651818279,-0.025580979
HALL2018,-0.580595276,0.644330292,-0.975100072,-0.238676919,1.049062776,-1.011748534,-0.621735823,-0.651818279,-0.025580979
HARVEY2018,0.916729383,-0.547072889,-0.975100072,-0.238676919,1.049062776,0.275931418,-0.621735823,-0.651818279,-0.025580979
JIA2018,-0.580595276,-0.547072889,0.762350965,-0.238676919,-0.09963166,-1.011748534,-0.621735823,-0.651818279,0.810064336
JONES2018,-0.580595276,-0.547072889,2.499802003,-0.238676919,-1.822673314,-1.011748534,1.170326254,-0.006584023,0.810064336
KENT2017,-0.580595276,-0.547072889,0.762350965,-0.238676919,1.049062776,-1.011748534,-0.621735823,-0.651818279,-0.025580979
KIMMONS2018,-0.580595276,0.644330292,0.762350965,-0.238676919,0.474715558,-1.011748534,-0.621735823,-0.651818279,-0.025580979
KOEHLER2017,-0.580595276,0.644330292,-0.975100072,-0.238676919,-1.248326096,0.275931418,-0.621735823,-0.651818279,0.810064336
KORMOS2019,-0.580595276,4.218539837,0.762350965,-0.238676919,-0.09963166,-1.011748534,-0.621735823,-0.651818279,-0.025580979
LEE2017,0.916729383,-0.547072889,-0.975100072,-0.238676919,-1.822673314,1.56361137,-0.621735823,-0.651818279,2.481354966
LOHNESWATULAK2018,-0.580595276,0.644330292,-0.975100072,-0.238676919,-1.248326096,1.56361137,2.962388331,-0.006584023,0.810064336
LUX2017,0.916729383,-0.547072889,0.762350965,-0.238676919,0.474715558,0.275931418,1.170326254,0.638650233,1.645709651
MARTIN2018,-0.580595276,-0.547072889,-0.975100072,-0.238676919,-0.09963166,-1.011748534,-0.621735823,-0.651818279,0.810064336
MENON2018,-0.580595276,0.644330292,0.762350965,-0.238676919,2.197757211,0.275931418,1.170326254,-0.006584023,-0.025580979
MILLER2019,-0.580595276,1.835733474,0.762350965,-0.238676919,-1.248326096,2.851291322,1.170326254,-0.651818279,1.645709651
MITCHELL2019,-0.580595276,1.835733474,0.762350965,-0.238676919,-1.822673314,0.275931418,-0.621735823,-0.651818279,1.645709651
MOUZA2017,-0.580595276,0.644330292,0.762350965,-0.238676919,0.474715558,0.275931418,-0.621735823,-0.651818279,-0.025580979
NELSON2017,-0.580595276,-0.547072889,-0.975100072,-0.238676919,-0.673978878,0.275931418,-0.621735823,-0.651818279,2.481354966
OTTENBREITLEFTWICH2018,-0.580595276,0.644330292,2.499802003,-0.238676919,-1.248326096,-1.011748534,1.170326254,-0.651818279,1.645709651
PARK2017,-0.580595276,-0.547072889,-0.975100072,-0.238676919,-0.09963166,0.275931418,-0.621735823,-0.651818279,0.810064336
PARRA2019,-0.580595276,-0.547072889,-0.975100072,-0.238676919,-1.822673314,0.275931418,1.170326254,-0.651818279,1.645709651
POLLY2018,0.916729383,1.835733474,-0.975100072,-0.238676919,0.474715558,1.56361137,-0.621735823,0.638650233,-0.025580979
SONG2018,-0.580595276,-0.547072889,0.762350965,-0.238676919,-1.822673314,0.275931418,-0.621735823,-0.651818279,2.481354966
THOMAS2019,-0.580595276,-0.547072889,-0.975100072,-0.238676919,1.623409993,0.275931418,-0.621735823,1.28388449,-0.025580979
TRAININ2018,-0.580595276,-0.547072889,0.762350965,-0.238676919,1.049062776,-1.011748534,-0.621735823,-0.651818279,-0.025580979
VASINDA2017,-0.580595276,1.835733474,0.762350965,-0.238676919,-1.248326096,1.56361137,2.962388331,-0.651818279,-0.025580979
VOITHOFER2019,-0.580595276,-0.547072889,-0.975100072,-0.238676919,0.474715558,-1.011748534,-0.621735823,-0.651818279,-0.025580979
WIMMER2019,-0.580595276,-0.547072889,0.762350965,-0.238676919,0.474715558,-1.011748534,-0.621735823,-0.006584023,1.645709651
ZIPKE2018,-0.580595276,-0.547072889,-0.975100072,-0.238676919,1.049062776,0.275931418,1.170326254,-0.651818279,1.645709651
ZIPKE2019,0.916729383,0.644330292,0.762350965,-0.238676919,1.623409993,0.275931418,1.170326254,-0.651818279,-0.025580979
ZOELLNER2017,0.916729383,0.644330292,0.762350965,-0.238676919,0.474715558,-1.011748534,-0.621735823,0.638650233,-0.861226294
AKCAOGLU2016,0.916729383,-0.547072889,-0.975100072,2.685115336,-0.673978878,0.275931418,-0.621735823,-0.651818279,-0.861226294
ASINGCAS2014,-0.580595276,0.644330292,2.499802003,-0.238676919,0.474715558,-1.011748534,-0.621735823,-0.006584023,-0.861226294
BAERTSTE2014,-0.580595276,-0.547072889,0.762350965,-0.238676919,-0.09963166,-1.011748534,-0.621735823,-0.651818279,-0.861226294
BELLMAEN2013,0.916729383,-0.547072889,-0.975100072,-0.238676919,-1.822673314,1.56361137,1.170326254,1.28388449,0.810064336
BESCHORN2016,2.414054041,0.644330292,-0.975100072,-0.238676919,-1.248326096,1.56361137,1.170326254,-0.006584023,-0.861226294
BRUCECHI2015,-0.580595276,-0.547072889,0.762350965,-0.238676919,-0.673978878,0.275931418,-0.621735823,3.219587259,-0.025580979
BURKEFOU2014,-0.580595276,0.644330292,-0.975100072,-0.238676919,-1.248326096,-1.011748534,1.170326254,-0.651818279,-0.861226294
BUSSWETZ2015,-0.580595276,-0.547072889,0.762350965,-0.238676919,-0.09963166,-1.011748534,1.170326254,-0.651818279,-0.861226294
COLLIERF2013,-0.580595276,4.218539837,0.762350965,-0.238676919,-0.673978878,1.56361137,-0.621735823,2.574353003,-0.025580979
CYDIS2015,0.916729383,-0.547072889,-0.975100072,-0.238676919,0.474715558,0.275931418,1.170326254,-0.651818279,-0.861226294
DONNAMIL2013,-0.580595276,-0.547072889,0.762350965,-0.238676919,-1.822673314,0.275931418,-0.621735823,1.929118746,-0.861226294
DOOLEYCA2014,-0.580595276,-0.547072889,0.762350965,5.608907591,-0.09963166,-1.011748534,-0.621735823,1.28388449,-0.861226294
FOULGERB2015,-0.580595276,-0.547072889,-0.975100072,-0.238676919,-0.09963166,-1.011748534,1.170326254,-0.651818279,-0.861226294
FOULGERW2013,-0.580595276,0.644330292,0.762350965,-0.238676919,-0.673978878,-1.011748534,-0.621735823,-0.651818279,-0.861226294
GREENCHA2013,0.916729383,-0.547072889,0.762350965,-0.238676919,0.474715558,1.56361137,-0.621735823,-0.006584023,-0.861226294
HABOWSKI2014,-0.580595276,-0.547072889,-0.975100072,-0.238676919,1.049062776,0.275931418,1.170326254,0.638650233,-0.025580979
HSU2013,-0.580595276,-0.547072889,2.499802003,-0.238676919,-0.09963166,1.56361137,1.170326254,-0.651818279,-0.025580979
HUGHES2013,-0.580595276,1.835733474,0.762350965,-0.238676919,1.623409993,-1.011748534,-0.621735823,-0.651818279,-0.861226294
HUTCHISO2016,2.414054041,-0.547072889,-0.975100072,-0.238676919,-0.09963166,1.56361137,-0.621735823,-0.006584023,-0.861226294
KALE2014,0.916729383,0.644330292,-0.975100072,-0.238676919,1.049062776,0.275931418,-0.621735823,-0.651818279,-0.861226294
KIMMONSM2015,-0.580595276,-0.547072889,-0.975100072,-0.238676919,0.474715558,0.275931418,-0.621735823,-0.651818279,-0.861226294
KOVALIKK2013,-0.580595276,-0.547072889,0.762350965,-0.238676919,1.049062776,0.275931418,-0.621735823,-0.651818279,-0.861226294
LEEKIM2014A,0.916729383,-0.547072889,-0.975100072,-0.238676919,-0.09963166,1.56361137,-0.621735823,-0.006584023,-0.861226294
LEEKIM2014B,3.911378699,-0.547072889,0.762350965,-0.238676919,-0.09963166,0.275931418,-0.621735823,-0.651818279,-0.861226294
LEWIS2015,2.414054041,-0.547072889,0.762350965,-0.238676919,1.623409993,-1.011748534,-0.621735823,-0.006584023,-0.861226294
LYUBLINS2014,0.916729383,-0.547072889,-0.975100072,-0.238676919,1.049062776,0.275931418,-0.621735823,0.638650233,-0.861226294
MADERICK2015,-0.580595276,-0.547072889,0.762350965,-0.238676919,1.623409993,-1.011748534,-0.621735823,-0.651818279,-0.025580979
MAENGMUL2013,0.916729383,-0.547072889,-0.975100072,-0.238676919,0.474715558,1.56361137,1.170326254,1.28388449,-0.025580979
MOURLAMM2015,-0.580595276,0.644330292,0.762350965,-0.238676919,-0.09963166,0.275931418,1.170326254,-0.651818279,1.645709651
MOUZAKAR2013,3.911378699,-0.547072889,-0.975100072,-0.238676919,0.474715558,0.275931418,-0.621735823,-0.651818279,-0.025580979
NIESSGIL2013,-0.580595276,-0.547072889,-0.975100072,-0.238676919,0.474715558,1.56361137,1.170326254,-0.006584023,-0.861226294
NUSSLIOH2014,0.916729383,0.644330292,0.762350965,5.608907591,-0.09963166,0.275931418,-0.621735823,-0.006584023,-0.861226294
ORTEGA2013,-0.580595276,-0.547072889,0.762350965,-0.238676919,-2.397020532,-1.011748534,2.962388331,0.638650233,1.645709651
PILGRIMB2014,-0.580595276,-0.547072889,-0.975100072,-0.238676919,-0.09963166,1.56361137,-0.621735823,-0.651818279,1.645709651
POLLY2015,0.916729383,-0.547072889,-0.975100072,-0.238676919,1.049062776,0.275931418,-0.621735823,-0.006584023,-0.861226294
POLLYROC2016,0.916729383,0.644330292,-0.975100072,-0.238676919,0.474715558,0.275931418,-0.621735823,-0.651818279,-0.861226294
RAYPOWEL2014,-0.580595276,-0.547072889,0.762350965,2.685115336,-0.673978878,-1.011748534,-0.621735823,-0.006584023,-0.861226294
REHMATBA2014,0.916729383,-0.547072889,0.762350965,-0.238676919,-0.09963166,0.275931418,-0.621735823,1.28388449,-0.861226294
SADAFNEW2015,-0.580595276,0.644330292,-0.975100072,-0.238676919,-0.673978878,-1.011748534,1.170326254,-0.651818279,-0.861226294
SCHMIDTF2016,0.916729383,-0.547072889,0.762350965,-0.238676919,-0.673978878,0.275931418,-0.621735823,2.574353003,-0.861226294
SHENHANN2013,-0.580595276,-0.547072889,-0.975100072,-0.238676919,1.623409993,0.275931418,1.170326254,-0.006584023,-0.861226294
SHINASKA2015,-0.580595276,-0.547072889,-0.975100072,-0.238676919,0.474715558,-1.011748534,-0.621735823,-0.651818279,-0.861226294
STOVERYE2014,-0.580595276,3.027136655,-0.975100072,-0.238676919,-1.248326096,0.275931418,1.170326254,1.929118746,-0.025580979
TOURNAKI2014,-0.580595276,-0.547072889,0.762350965,-0.238676919,1.049062776,-1.011748534,-0.621735823,1.28388449,-0.861226294
WAKEWHIT2013,0.916729383,-0.547072889,0.762350965,-0.238676919,0.474715558,-1.011748534,-0.621735823,-0.006584023,-0.861226294
WEBBKAPA2015,-0.580595276,0.644330292,0.762350965,-0.238676919,-0.09963166,0.275931418,-0.621735823,-0.006584023,-0.861226294
WETZELBU2014,-0.580595276,-0.547072889,-0.975100072,-0.238676919,1.049062776,-1.011748534,1.170326254,-0.651818279,-0.861226294
