AKAPAME2019,ANGELI2008,ANGELI2009,AAMTE2006,AAMTE2015,AAMTE2017,CAVIN2007,CBMS2012,DRIJVERS2008,GRANDGENETT2008,HOFER2012,KOEHLER2005,KOEHLER2007,LEE2017,LYUBLINSKAYA2012,LYUBLINSKAYA2014,MARGERUMLEYS2002,MERRIAM2009,MOUZA2014,NCTM2014,NIESS2005,NIESS2012,NIESS2009A,NIESS2009B,SHERMAN2014,SHIN2009,SUTTON2011,USDOE2007,USDOE2008,USDOE2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALHAZZA2017,AJAYI2011,BEZEMER2008,BURNETT2011,BURNETT2006,CORBIN2015,CRESWELL2013,GEE2000,GIDDENS1991,GRAHAM2008,HONAN2008,IRA2009,JOHNSON2002,JOHNSTON2005,KELLNER2000,KNOBEL2007,KOEHLER2009,KOEHLER2013,KRESS2000,LANKSHEAR2014,LAPP2012,LENHART2012,LENHART2013,LEU1997,LEU2013,LEVY2009,MARSH2003,MERCHANT2012,MISHRA2006,NLG1996,PACINO2011,PEW2013,PURCELL2013,RAZFAR2003,ROWSELL2008,SCHATZKI2005,SHULMAN1986,STOLLE2008,STREET1995,TICKNOR2015,UNSWORTH2004,VYGOTSKY1978,YU2013,ZICKUHR2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMFIELD2019,ARMFIELD2016,BLOCHER2016A,BLOCHER2016B,CRAWFORD2008,DARLINGHAMMOND2014,DAVIS2013,EPALS2018,GHAZINOUR2013,GILBERT2010,GURUNG2013,HOLLANDSWORTH2011,ISTE2016,PRIMARYTECH2017,RISQUEZ2013,SCOTUSBLOG2017,SELWYN2010,SINCLAIR2011,ISTE2008,THOMAS2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAHNG2017,ADLER1987,AAAS1990,APPLEFIELD2001,ANNETTA2009,BANG2013A,BANG2013B,BAKHTIN1986,BSCS2011,BLEICHER2006,BOURDIEU1986,BURGUILLO2010,BYBEE2006,CCST2007,CHEN2012,CORBIN2008,COSTLEY2010,CROWTHER1997,DEWEY1997,DISESSA2000,DUNNE2011,DWYER2009,ENGSTROM1987,FRIEDMAN2005,ERTMER2005,ERTMER1999,FREIRE2003,FRIEDRICHSEN2009,GASSON2004,GLASER1967,GREENFIELD1999,GUBA1981,HADJIACHILLEOS2013,HERMANS2008,HEW2007,HOLLAND1998,HUGHES2005,INMAN2011,JENKINS2006,JOHNSON2012,KAY2006,KERAWALLA2006,KIM2006,KLEINER2007,KUENZI2008,LAVE1991,LAWLESS2007,LIU2010,MARINO2013,MILES1994,MOERSCH1995,MORRIS1999,NAS1996,NAS2010,NCEE1983,NRC2012,NSTC2011,NSB2006,NEWMAN2004,NOVAK2016,PIBURN2000,REED1995,ROGOFF1990,RUSSELL2003,SHENTON2004,SLOTTA2009,SRIVASTAVA2009,SUN2010,SUNG2013,TOLEDO2005,TCSE2017,USCJEC2012,VEAL1999,VYGOTSKY1978,WALLERSTEIN1998,WELLS2000,WENGER1998,WU2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSS2017,BELL2013,BUSS2015,FULLAN2007,HALL2006,KOEHLER2008,KRAUSKOPF2017,MISHRA2006,MOUZA2017,NIET2012,NIESS2011,NIESS2009,OLEJNIK2000,SHULMAN1986,SPECK2005,TSCHANNENMORAN2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUSS2018,BUSS2015,FLAVELL1969,FOULGER2012,GREENE2007,GUBA1981,HYPERRESEARCH2013,KOEHLER2008,LEE2014,MISHRA2006,MOUZA2017,NETP2017,NIET2012,NIESS2008,NIESS2011,NIESS2009,OLEJNIK2000,PIERSON2005,SCHMIDT2009,STRAUSS1998,TONDEUR2012,USDOE2016,VOOGT2012,WETZEL2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYKER2017,APWG1997,BANAS2014,BORKO1995,BYKER2013,BYKER2014A,BYKER2014B,BYKER2015,BYKER2016A,BYKER2016B,CHAI2010,CHEN2010,COOKSATHER2006,CRESWELL2014,DEWEY1915,ERTMER2010,ERTMER2012,FERGUSON2011,FIELDING2004A,FIELDING2004B,FIELDING2006,FINK2003,FOWLER2002,GLASER1967,HORTON2017,KOEHLER2007,LAW2008,MCCOMBS1997,MILES1994,MITRA2004,MITRA2012,MONTESSORI1949,OTTENBREITLEFTWICH2007,OTTENBREITLEFTWICH2010,POLLY2006,POLLY2011,POLLY2016,TASHAKKORI1998,WRIGHT2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANIGLIA2018,CHIEN2012,CCSS2010,CORBIN1990,CRESPO2003,CUMMINGS2015,ENDSLEY2017,EQUIP2017,FREDERICK2017,HAKVEDICAN2012,HANDAL2013,HECHTER2012,IWS2017,ISTE2017,KOEHLER2012,LAPPAN1995,LINCOLN1984,MCMILLAN2001,MISHRA2006,NRC2001,NCTM2010,NICOL1999,OZGUNKOCA2010,PUENTEDURA2014,UNESCO2003,USDOE2016,WALTHAUSEN2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAUSEN2019,AACTE2010,ADAMS2015,AEE2018,ARCHAMBAULT2010,ARGYRIS1974,BENNETT2010,BRANTLEYDIAS2013,CAEP2016,DAY2008,DEXTER2012,FOULGER2017,FOULGER2016,FOULGER2015,GLASER1967,GRAZIANO2017,HALL2015,HARRIS2016,HERRING2014,HILL1998,HINE2014,HORD2017,ISTE2017A,ISTE2017B,KOEHLER2008,KOLB2018,LEITHWOOD2008A,LEITHWOOD2008B,MISHRA2006,MOUZA2014,PORRASHERNANDEZ2013,ROBERTS1985,ROSENBERG2015,SALAWAY1987,SCHMIDT2009,SHUMAN1986,SWALLOW2017,TONDEUR2013,THOMAS2013,USDOE2016,USDOE2017,VOOGT2013,WEBER1990,WETZEL2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRIST2019,ARYA2015,BAKIR2015,BAUER2005,BELLAND2008,BLACKWELL2014,BRUSH2003,CAMPUZANO2009,CARVER2016,CHRIST2015,CORBIN2008,ERTMER2005,HERSHEY2015,HONAN2008,HUTCHISON2010,HUTCHISON2011,IRA2009,ISRAELSON2014,KOEHLER2009,LAWLESS2007,LIU2015,LLOSA2009,POLY2010,ROSAEN2003,SADAF2016,STOLLE2008,WANG2014,WENGLINSKY2005,ZHAO2002,ZOCH2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
