manuscriptID,academic,developmentalist,technical,deliberative,reconstruction,other_tradition
AKAPAME2019,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
ALHAZZA2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
ARMFIELD2019,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
BAHNG2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
BUSS2017,no_academic,no_developmentalist,technical,deliberative,no_reconstruction,no_other_tradition
BUSS2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
BYKER2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
BYRD2017,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
CANIGLIA2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
CAUSEN2019,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
CHRIST2019,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
DINC2019,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
FOULGER2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
GILES2019,no_academic,no_developmentalist,technical,deliberative,no_reconstruction,no_other_tradition
GRAZIANO2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
GRAZIANO2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
HALL2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
HARVEY2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
JIA2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
JONES2018,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
KENT2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
KIMMONS2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
KOEHLER2017,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
KORMOS2019,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
LEE2017,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
LOHNESWATULAK2018,no_academic,developmentalist,no_technical,no_deliberative,no_reconstruction,no_other_tradition
LUX2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
MARTIN2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
MASON2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
MENON2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
MILLER2019,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
MITCHELL2019,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
MOUZA2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
NELSON2017,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
OTTENBREITLEFTWICH2018,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
PARK2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
PARRA2019,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
POLLY2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
SONG2018,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
THOMAS2019,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
TRAININ2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
VASINDA2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
VOITHOFER2019,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
WIMMER2019,no_academic,no_developmentalist,no_technical,deliberative,no_reconstruction,no_other_tradition
ZIPKE2018,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
ZIPKE2019,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
ZOELLNER2017,no_academic,no_developmentalist,technical,no_deliberative,no_reconstruction,no_other_tradition
AKCAOGLU2016,no_academic,no_technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
ASINGCAS2014,no_academic,technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
BAERTSTE2014,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
BANISTER2013,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
BELLMAEN2013,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
BESCHORN2016,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
BRUCECHI2015,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
BURKEFOU2014,no_academic,no_technical,no_deliberative,no_developmental,no_reconstruction,other_tradition
BUSSWETZ2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
COLLIERF2013,academic,no_technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
CYDIS2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
DONNAMIL2013,academic,no_technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
DOOLEYCA2014,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
FOULGERB2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
FOULGERW2013,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
GREENCHA2013,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
HABOWSKI2014,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
HOLLANDP2014,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
HOLLANDP2016,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
HSU2013,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
HUGHES2013,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
HUTCHISO2016,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
KALE2014,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
KIMMONSM2015,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
KINGLANC2013,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
KOVALIKK2013,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
LEEKIM2014A,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
LEEKIM2014B,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
LEWIS2015,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
LYUBLINS2014,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
